"","coords.lon","coords.lat","areas","areas.sum.areas."
"1069",-56.25,-5.75,3074.53016554005,0.000517202644143433
"1070",-55.75,-5.75,3074.53016554005,0.000517202644143433
"1071",-55.25,-5.75,3074.53016554005,0.000517202644143433
"1072",-54.75,-5.75,3074.53016554005,0.000517202644143433
"1073",-54.25,-5.75,3074.53016554005,0.000517202644143433
"1074",-53.75,-5.75,3074.53016554005,0.000517202644143433
"1075",-53.25,-5.75,3074.53016554005,0.000517202644143433
"1076",-52.75,-5.75,3074.53016554005,0.000517202644143433
"1077",-52.25,-5.75,3074.53016554005,0.000517202644143433
"1078",-51.75,-5.75,3074.53016554005,0.000517202644143433
"1079",-51.25,-5.75,3074.53016554005,0.000517202644143433
"1080",-79.25,-5.25,3077.11480048181,0.0005176374357877
"1081",-78.75,-5.25,3077.11480048181,0.0005176374357877
"1082",-78.25,-5.25,3077.11480048181,0.0005176374357877
"1083",-77.75,-5.25,3077.11480048181,0.0005176374357877
"1084",-77.25,-5.25,3077.11480048181,0.0005176374357877
"1085",-76.75,-5.25,3077.11480048181,0.0005176374357877
"1086",-76.25,-5.25,3077.11480048181,0.0005176374357877
"1087",-75.75,-5.25,3077.11480048181,0.0005176374357877
"1088",-75.25,-5.25,3077.11480048181,0.0005176374357877
"1089",-74.75,-5.25,3077.11480048181,0.0005176374357877
"1090",-74.25,-5.25,3077.11480048181,0.0005176374357877
"1091",-73.75,-5.25,3077.11480048181,0.0005176374357877
"1092",-73.25,-5.25,3077.11480048181,0.0005176374357877
"1093",-72.75,-5.25,3077.11480048181,0.0005176374357877
"1094",-72.25,-5.25,3077.11480048181,0.0005176374357877
"1095",-71.75,-5.25,3077.11480048181,0.0005176374357877
"1096",-71.25,-5.25,3077.11480048181,0.0005176374357877
"1097",-70.75,-5.25,3077.11480048181,0.0005176374357877
"1098",-70.25,-5.25,3077.11480048181,0.0005176374357877
"1099",-69.75,-5.25,3077.11480048181,0.0005176374357877
"1100",-69.25,-5.25,3077.11480048181,0.0005176374357877
"1101",-68.75,-5.25,3077.11480048181,0.0005176374357877
"1102",-68.25,-5.25,3077.11480048181,0.0005176374357877
"1103",-67.75,-5.25,3077.11480048181,0.0005176374357877
"1104",-67.25,-5.25,3077.11480048181,0.0005176374357877
"1105",-66.75,-5.25,3077.11480048181,0.0005176374357877
"1106",-66.25,-5.25,3077.11480048181,0.0005176374357877
"1107",-65.75,-5.25,3077.11480048181,0.0005176374357877
"1108",-65.25,-5.25,3077.11480048181,0.0005176374357877
"1109",-64.75,-5.25,3077.11480048181,0.0005176374357877
"1110",-64.25,-5.25,3077.11480048181,0.0005176374357877
"1111",-63.75,-5.25,3077.11480048181,0.0005176374357877
"1112",-63.25,-5.25,3077.11480048181,0.0005176374357877
"1113",-62.75,-5.25,3077.11480048181,0.0005176374357877
"1114",-62.25,-5.25,3077.11480048181,0.0005176374357877
